Update,Episode,Step,dy,dx,vy,thrust,pitch,reward
0,0,165,3.43,3.40,0.20,0.13,-0.50,-0.012
0,0,166,3.43,3.40,0.17,0.05,-0.39,-0.011
0,0,167,3.44,3.39,0.15,0.16,-0.66,-0.011
0,0,168,3.44,3.39,0.13,0.40,-0.68,-0.011
0,0,169,3.44,3.38,0.11,0.18,-0.50,-0.011
0,0,170,3.44,3.38,0.08,0.11,-0.41,-0.011
0,0,171,3.45,3.37,0.06,0.17,-0.17,-0.011
0,0,172,3.45,3.37,0.04,0.39,-0.26,-0.011
0,0,173,3.45,3.36,0.03,0.10,0.11,-0.010
0,0,174,3.45,3.36,0.01,0.14,-0.79,-0.010
0,0,175,3.45,3.35,-0.01,0.18,-0.55,-0.011
0,0,176,3.45,3.35,-0.03,0.19,-0.64,-0.011
0,0,177,3.44,3.34,-0.06,0.42,-0.06,-0.011
0,0,178,3.44,3.34,-0.08,0.39,-0.49,-0.011
0,0,179,3.44,3.34,-0.10,0.11,-0.82,-0.011
0,0,180,3.44,3.33,-0.12,0.15,-0.66,-0.011
0,0,181,3.44,3.33,-0.14,0.26,0.01,-0.011
0,0,182,3.43,3.32,-0.16,0.26,-0.28,-0.011
0,0,183,3.43,3.32,-0.18,0.50,-0.27,-0.012
0,0,184,3.42,3.32,-0.20,0.17,-0.53,-0.012
0,0,185,3.42,3.31,-0.22,0.15,-0.35,-0.012
0,0,186,3.42,3.31,-0.20,0.15,-0.71,-0.012
0,0,187,3.41,3.31,-0.08,0.40,-0.61,-0.012
0,0,188,3.41,3.31,-0.07,0.05,-0.71,-0.012
0,0,189,3.41,3.32,-0.09,0.05,-0.45,-0.012
0,0,190,3.41,3.32,-0.12,0.17,-0.62,-0.012
0,0,191,3.41,3.33,-0.15,0.21,-0.64,-0.012
0,0,192,3.40,3.33,-0.17,0.29,-0.09,-0.013
0,0,193,3.40,3.34,-0.20,0.17,-0.65,-0.013
0,0,194,3.39,3.35,-0.23,0.28,-0.50,-0.013
0,0,195,3.39,3.36,-0.26,0.25,-0.30,-0.013
0,0,196,3.38,3.37,-0.28,0.27,-0.14,-0.013
0,0,197,3.38,3.38,-0.25,0.18,-0.70,-0.014
0,0,198,3.37,3.40,-0.26,0.23,-0.77,-0.013
0,0,199,3.37,3.41,-0.12,0.19,-0.47,-0.013
0,0,200,3.37,3.43,0.05,0.38,0.31,-0.013
0,0,201,3.37,3.44,0.14,0.25,-0.67,-0.013
0,0,202,3.38,3.46,0.14,0.27,-0.19,-0.013
0,0,203,3.38,3.47,0.10,0.36,-0.30,-0.013
0,0,204,3.38,3.49,0.10,0.49,-0.49,-0.013
0,0,205,3.38,3.50,0.20,0.27,-0.53,-0.013
0,0,206,3.39,3.51,0.21,0.41,-0.11,-0.013
0,0,207,3.39,3.52,0.19,0.24,-0.61,-0.012
0,0,208,3.39,3.53,0.16,0.23,-0.41,-0.012
0,0,209,3.40,3.53,0.13,0.24,-0.43,-0.012
0,0,210,3.40,3.54,0.11,0.16,0.11,-0.012
0,0,211,3.40,3.54,0.08,0.23,0.09,-0.012
0,0,212,3.40,3.54,0.06,0.10,-0.13,-0.012
0,0,213,3.40,3.55,0.03,0.56,-0.28,-0.012
0,0,214,3.40,3.55,0.01,0.37,-0.69,-0.012
0,0,215,3.40,3.55,-0.02,0.27,-0.44,-0.012
0,0,216,3.40,3.54,-0.03,0.24,-0.65,-0.012
0,0,217,3.40,3.54,-0.06,0.65,-0.64,-0.012
0,0,218,3.40,3.54,-0.08,0.56,-0.67,-0.012
0,0,219,3.40,3.53,-0.10,0.15,0.01,-0.012
0,0,220,3.39,3.53,-0.13,0.31,-0.10,-0.013
0,0,221,3.39,3.52,-0.16,0.63,-0.73,-0.013
0,0,222,3.39,3.51,-0.18,0.48,-0.40,-0.013
0,0,223,3.38,3.50,-0.21,0.19,-0.52,-0.013
0,0,224,3.38,3.49,-0.24,0.14,-0.35,-0.013
0,0,225,3.37,3.48,-0.26,0.24,-0.50,-0.013
0,0,226,3.37,3.47,-0.24,0.24,-0.16,-0.013
0,0,227,3.36,3.45,-0.20,0.34,-0.57,-0.013
0,0,228,3.36,3.44,-0.19,0.26,0.07,-0.013
0,0,229,3.36,3.43,0.19,0.25,0.12,-0.012
0,0,230,3.36,3.42,0.19,0.20,-0.24,-0.012
0,0,231,3.37,3.41,0.19,0.48,-0.63,-0.012
0,0,232,3.37,3.41,0.17,0.34,-0.62,-0.012
0,0,233,3.37,3.40,0.14,0.33,-0.05,-0.012
0,0,234,3.37,3.40,0.11,0.39,-0.31,-0.012
0,0,235,3.38,3.40,0.08,0.13,-0.67,-0.011
0,0,236,3.38,3.39,0.10,0.14,0.01,-0.011
0,0,237,3.38,3.39,0.09,0.12,0.09,-0.011
0,0,238,3.38,3.39,0.07,0.13,-0.29,-0.011
0,0,239,3.38,3.39,0.05,0.15,-0.58,-0.011
0,0,240,3.38,3.39,0.02,0.40,-0.38,-0.011
0,0,241,3.38,3.39,-0.00,0.21,-0.30,-0.011
0,0,242,3.38,3.39,-0.01,0.18,-0.49,-0.011
0,0,243,3.38,3.39,-0.03,0.34,-0.25,-0.011
0,0,244,3.38,3.39,-0.04,0.36,-0.44,-0.011
0,0,245,3.38,3.39,-0.06,0.42,-0.51,-0.011
0,0,246,3.38,3.39,-0.07,0.31,-0.64,-0.011
0,0,247,3.38,3.40,-0.09,0.31,-0.10,-0.012
0,0,248,3.37,3.40,-0.10,0.26,0.07,-0.012
0,0,249,3.37,3.41,-0.12,0.30,-0.56,-0.012
0,0,250,3.37,3.41,-0.14,0.18,0.12,-0.012
0,0,251,3.37,3.42,-0.16,0.52,-0.06,-0.012
0,0,252,3.36,3.42,-0.18,0.41,0.07,-0.013
0,0,253,3.36,3.43,-0.20,0.32,-0.06,-0.012
0,0,254,3.36,3.44,-0.12,0.37,-0.52,-0.012
0,0,255,3.36,3.45,0.09,0.16,-0.47,-0.012
0,0,256,3.36,3.45,0.12,0.35,-0.65,-0.012
0,0,257,3.36,3.45,0.10,0.26,-0.65,-0.012
0,0,258,3.36,3.46,0.08,0.64,-0.08,-0.011
0,0,259,3.37,3.46,0.06,0.18,-0.72,-0.011
0,0,260,3.37,3.46,0.04,0.20,-0.19,-0.011
0,0,261,3.37,3.46,0.02,0.26,-0.27,-0.011
0,0,262,3.37,3.46,-0.00,0.18,-0.44,-0.011
0,0,263,3.37,3.46,-0.02,0.29,-0.56,-0.011
0,0,264,3.37,3.46,-0.04,0.20,-0.46,-0.011
0,0,265,3.36,3.46,-0.06,0.36,0.06,-0.012
0,0,266,3.36,3.45,-0.08,0.21,-0.71,-0.012
0,0,267,3.36,3.45,-0.10,0.32,0.23,-0.012
0,0,268,3.36,3.45,-0.12,0.16,-0.38,-0.012
0,0,269,3.36,3.44,-0.12,0.16,-0.28,-0.012
0,0,270,3.36,3.44,0.02,0.26,-0.10,-0.011
0,0,271,3.36,3.43,0.07,0.14,-0.46,-0.011
0,0,272,3.36,3.43,0.04,0.12,-0.67,-0.011
0,0,273,3.36,3.43,0.02,0.66,0.10,-0.011
0,0,274,3.36,3.43,0.01,0.20,-0.68,-0.011
0,0,275,3.36,3.43,-0.01,0.33,-0.14,-0.011
0,0,276,3.36,3.43,-0.03,0.31,-0.84,-0.011
0,0,277,3.36,3.44,-0.05,0.53,-0.66,-0.011
0,0,278,3.36,3.44,-0.07,0.06,0.13,-0.011
0,0,279,3.36,3.44,-0.01,0.26,0.25,-0.011
0,0,280,3.36,3.44,0.01,0.18,-0.57,-0.011
0,0,281,3.36,3.44,0.00,0.22,-0.40,-0.011
0,0,282,3.36,3.44,-0.01,0.17,-0.83,-0.011
0,0,283,3.36,3.44,-0.02,0.38,0.07,-0.011
0,0,284,3.35,3.44,-0.01,0.50,-0.49,-0.011
0,0,285,3.35,3.44,-0.00,0.19,-0.71,-0.011
0,0,286,3.35,3.44,-0.00,0.27,0.10,-0.011
0,0,287,3.35,3.44,-0.00,0.13,-0.27,-0.011
0,0,288,3.35,3.44,-0.00,0.24,-0.39,-0.011
0,0,289,3.36,3.44,-0.00,0.28,-0.65,-0.011
0,0,290,3.36,3.44,-0.00,0.09,-0.14,-0.011
0,0,291,3.36,3.44,-0.00,0.28,-0.65,-0.011
0,0,292,3.36,3.44,-0.00,0.35,-0.54,-0.011
0,0,293,3.36,3.44,-0.00,0.15,-0.35,-0.011
0,0,294,3.35,3.44,-0.00,0.55,0.00,-0.011
0,0,295,3.35,3.44,-0.00,0.32,-0.89,-0.011
0,0,296,3.35,3.44,-0.00,0.41,-0.83,-0.011
0,0,297,3.35,3.44,-0.00,0.20,-0.14,-0.011
0,0,298,3.36,3.44,0.00,0.18,-0.35,-0.011
0,0,299,3.36,3.44,-0.00,0.21,0.25,-0.011
0,0,300,3.36,3.44,-0.00,0.12,-0.59,-0.011
0,0,301,3.36,3.44,-0.00,0.57,-0.64,-0.011
0,0,302,3.36,3.44,-0.00,0.12,-0.61,-0.011
0,0,303,3.36,3.44,-0.00,0.56,-0.24,-0.011
0,0,304,3.36,3.44,-0.00,0.43,-0.64,-0.011
0,0,305,3.36,3.44,-0.00,0.18,-0.56,-0.011
0,0,306,3.36,3.44,-0.00,0.44,0.21,-0.011
0,0,307,3.36,3.44,-0.00,0.43,-0.18,-0.011
0,0,308,3.36,3.44,-0.00,0.35,-0.31,-0.011
0,0,309,3.36,3.44,-0.00,0.06,-0.42,-0.011
0,0,310,3.36,3.44,-0.00,0.24,0.49,-0.011
0,0,311,3.36,3.44,-0.00,0.16,-0.48,-0.011
0,0,312,3.36,3.44,-0.00,0.36,-0.78,-0.011
0,0,313,3.36,3.44,-0.00,0.29,0.33,-0.011
0,0,314,3.36,3.44,-0.00,0.64,-0.05,-0.011
0,0,315,3.36,3.44,-0.00,0.29,-0.51,-0.011
0,0,316,3.36,3.44,-0.00,0.11,-0.66,-0.011
0,0,317,3.36,3.44,-0.00,0.33,-0.41,-0.011
0,0,318,3.36,3.44,-0.00,0.16,-0.68,-0.011
0,0,319,3.36,3.44,-0.00,0.08,-0.50,-0.011
0,0,320,3.36,3.44,-0.00,0.29,-0.62,-0.011
0,0,321,3.36,3.44,-0.00,0.60,-0.66,-0.011
0,0,322,3.36,3.44,-0.00,0.55,-0.53,-0.011
0,0,323,3.36,3.44,-0.00,0.34,-0.49,-0.011
0,0,324,3.36,3.44,-0.00,0.30,-0.45,-0.011
0,0,325,3.36,3.44,-0.00,0.37,-0.48,-0.011
0,0,326,3.36,3.44,-0.00,0.27,-0.33,-0.011
0,0,327,3.36,3.44,-0.00,0.10,-0.59,-0.011
0,0,328,3.36,3.44,-0.00,0.50,-0.58,-0.011
0,0,329,3.36,3.44,-0.00,0.12,-0.52,-0.011
0,0,330,3.36,3.44,-0.00,0.19,-0.26,-0.011
0,0,331,3.36,3.44,-0.00,0.22,-0.37,-0.011
0,0,332,3.36,3.44,-0.00,0.14,-0.56,-0.011
0,0,333,3.36,3.44,-0.00,0.20,-0.36,-0.011
0,0,334,3.36,3.44,-0.00,0.31,-0.04,-0.011
0,0,335,3.36,3.44,-0.00,0.14,-0.81,-0.011
0,0,336,3.36,3.44,-0.00,0.25,-0.10,-0.011
0,0,337,3.36,3.44,-0.00,0.13,-0.29,-0.011
0,0,338,3.36,3.44,-0.00,0.37,-0.38,-0.011
0,0,339,3.36,3.44,-0.00,0.36,-0.77,-0.011
0,0,340,3.36,3.44,-0.00,0.34,-0.30,-0.011
